event_type,time_unit,date_1,date_2,year,month,day,duration,drug_type,quantity,quantity_unit,modus_operandi,sub_modus_operandi,region,country,department/state,municipality/port,origin_country,origin_area,origin_municipality,transit_1_region,transit_1_country,transit_1_department/state,transit_1_municipality/port,transit_2_region,transit_2_country,transit_2_department/state,transit_2_municipality/port,destination_1_region,destination_1_country,destination_1_department/state,destination_1_municipality/port,destination_2_country,destination_2_department/state,destination_2_municipality/port,description,criminal_group_1,criminal_group_2,criminal_group_3,source_link,source_link2,archived_link,minor_involved,project_interested,uid,lat,lon,geo_lugar,geo_precision,_url_original,_titulo_alerta,_fecha_alerta,_scrape_status,_grupo_duplicado,_run_id
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,,,,,South America,Brazil,,,,,,,,,,,,,,,,,,,,,Police seize marijuana and cocaine shipments in the region.,,,,https://folhadomate.com/noticias/policia/policia-apreende-carregamentos-de-maconha-e-cocaina-na-regiao/,,,,,,,,,,https://folhadomate.com/noticias/policia/policia-apreende-carregamentos-de-maconha-e-cocaina-na-regiao/,Polícia apreende carregamentos de maconha e cocaína na região - Folha do Mate,2026-06-15,texto_pobre,,20260912_155556
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,1,Kilogram,Land,Storage Site,North America,Canada,Ontario,Collingwood,,,,,,,,,,,,,,,,,,,"1 kg cocaine, MDMA, and $12K cash found in Collingwood home.",,,,https://www.barrietoday.com/police-beat/police-find-kilo-of-cocaine-12k-cash-and-mdma-in-collingwood-home-12421538,,,,,,,,,,https://www.barrietoday.com/police-beat/police-find-kilo-of-cocaine-12k-cash-and-mdma-in-collingwood-home-12421538,"Police find kilo of cocaine, $12K cash and MDMA in Collingwood home - Barrie Today",2026-06-15,texto_pobre,,20260912_155556
Seizure,Individual,2025-05-30,,2025,5,30,,Cocaine,814.67,Capsule/Dose,Land,Storage Site,Europe,Portugal,Évora,Évora,,,,,,,,,,,,,,,,,,,PSP dismantles family drug trafficking network in Évora; 23 arrested.,,,,https://sapo.pt/artigo/psp-desmantela-alegada-rede-de-trafico-em-evora-23-detidos-e-mais-de-800-doses-de-cocaina-apreendidas-6a1d8b12bd4691ffdc57af1b,,,,,,,,,,https://sapo.pt/artigo/psp-desmantela-alegada-rede-de-trafico-em-evora-23-detidos-e-mais-de-800-doses-de-cocaina-apreendidas-6a1d8b12bd4691ffdc57af1b,PSP desmantela alegada rede de tráfico em Évora: 23 detidos e mais de 800 doses de ... - SAPO,2026-06-01,ok,,20260912_155556
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,333,Capsule/Dose,Land,Storage Site,South America,Brazil,Rio Grande do Sul,Caxias do Sul,,,,,,,,,,,,,,,,,,,"333 cocaine portions seized in Jardim América neighbourhood, Caxias do Sul.",,,,https://www.facebook.com/studionoticiastv/posts/caxiasdosul-policial-a%C3%A7%C3%A3o-ocorreu-no-bairro-jardim-am%C3%A9rica-e-resultou-na-apreens/1617329463731289/,,,,,,,,,,https://www.facebook.com/studionoticiastv/posts/caxiasdosul-policial-a%C3%A7%C3%A3o-ocorreu-no-bairro-jardim-am%C3%A9rica-e-resultou-na-apreens/1617329463731289/,Ação ocorreu no bairro Jardim América e resultou na apreensão de 333 porções de cocaína ...,2026-06-15,no_scrapeable,,20260912_155556
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,530,Kilogram,Land,Storage Site,Europe,United Kingdom,Devon and Cornwall,Plymouth,,,,,,,,,,,,,,,,,,,Over 530g cocaine seized at Plymouth residence during February SWROCU raid.,,,,https://uknip.co.uk/news/uk/uk-news/plymouth-man-jailed-for-drugs-and-weapons-following-swrocu-bust/,,,,,,,,,,https://uknip.co.uk/news/uk/uk-news/plymouth-man-jailed-for-drugs-and-weapons-following-swrocu-bust/,Plymouth Man Jailed for Drugs and Weapons Following SWROCU Bust - uknip.co.uk,2026-06-15,ok,,20260912_155556
Seizure,Individual,2026-06-07,,2026,6,7,,Cocaine,237.6,Kilogram,Air,Air Cargo,Africa,Liberia,,Monrovia,,,,,,,,,,,,Europe,Belgium,,,,,,"237.6 kg cocaine seized at Roberts International Airport, Monrovia, aboard Brussels Airlines cargo.",,,,https://www.koaci.com/article/2026/06/15/liberia/societe/liberia-saisie-record-de-237-kg-de-cocaine-dune-valeur-de-plus-de-19-millions-de-dollars-a-laeroport-enquete_197604.html,,,,,,,,,,https://www.koaci.com/article/2026/06/15/liberia/societe/liberia-saisie-record-de-237-kg-de-cocaine-dune-valeur-de-plus-de-19-millions-de-dollars-a-laeroport-enquete_197604.html,Liberia : Saisie record de 237 Kg de cocaïne d'une valeur de plus de 19 millions de dollars à ...,2026-06-15,ok,,20260912_155556
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,60,Kilogram,Land,,North America,Canada,,Blue Water Bridge,,,,,,,,,,,,,,,,,,,"Major cocaine seizure at Blue Water Bridge, over 60 kg.",,,,https://www.facebook.com/OnTheRoadQuebec/posts/pour-tenter-de-comprendre-%EF%B8%8F-saisie-majeure-au-pont-blue-water-plus-de-60-kg-de-c/1537256128194039/,,,,,,,,,,https://www.facebook.com/OnTheRoadQuebec/posts/pour-tenter-de-comprendre-%EF%B8%8F-saisie-majeure-au-pont-blue-water-plus-de-60-kg-de-c/1537256128194039/,Pour tenter de comprendre ➡️ https://bit.ly/4xsQbyB Saisie majeure au pont Blue Water : plus de ...,2026-06-15,no_scrapeable,,20260912_155556
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,,,Land,Storage Site,South America,Uruguay,Tacuarembó,Barrio Don Audemar,,,,,,,,,,,,,,,,,,,Operación Coyote: cocaine and pasta base seized at drug-selling points in Tacuarembó.,,,,https://www.gub.uy/ministerio-interior/comunicacion/noticias/operacion-coyote-incautacion-drogas-dinero-desarticulacion-bocas-tacuarembo,,,,,,,,,,https://www.gub.uy/ministerio-interior/comunicacion/noticias/operacion-coyote-incautacion-drogas-dinero-desarticulacion-bocas-tacuarembo,"Operación Coyote: incautación de drogas, dinero y desarticulación de bocas en Tacuarembó",2026-06-15,ok,,20260912_170717
Seizure,Individual,2026-06-22,,2026,6,22,,Cocaine,1000000,USD,Land,,North America,United States,Texas,,,,,,,,,,,,,,,,,,,,CBP officers seize nearly $1M worth of cocaine at South Texas ports.,,,,http://www.msn.com/en-us/news/us/cbp-officers-seize-nearly-1-million-worth-of-cocaine-at-south-texas-ports/ar-AA25Z5lX?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,,,,,,,,,,http://www.msn.com/en-us/news/us/cbp-officers-seize-nearly-1-million-worth-of-cocaine-at-south-texas-ports/ar-AA25Z5lX?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,CBP officers seize nearly $1 million worth of cocaine at South Texas ports - MSN,2026-06-22,texto_pobre,,20260912_170717
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,,,,,South America,Brazil,,,,,,,,,,,,,,,,,,,,,Police seize marijuana and cocaine shipments in the region.,,,,https://folhadomate.com/noticias/policia/policia-apreende-carregamentos-de-maconha-e-cocaina-na-regiao/,,,,,,,,,,https://folhadomate.com/noticias/policia/policia-apreende-carregamentos-de-maconha-e-cocaina-na-regiao/,Polícia apreende carregamentos de maconha e cocaína na região - Folha do Mate,2026-06-15,texto_pobre,,20260912_170717
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,1,Kilogram,Land,Storage Site,North America,Canada,Ontario,Collingwood,,,,,,,,,,,,,,,,,,,"1 kg cocaine, $12K cash and MDMA found in Collingwood home.",,,,https://www.barrietoday.com/police-beat/police-find-kilo-of-cocaine-12k-cash-and-mdma-in-collingwood-home-12421538,,,,,,,,,,https://www.barrietoday.com/police-beat/police-find-kilo-of-cocaine-12k-cash-and-mdma-in-collingwood-home-12421538,"Police find kilo of cocaine, $12K cash and MDMA in Collingwood home - Barrie Today",2026-06-15,texto_pobre,,20260912_170717
Seizure,Individual,2025-05-30,,2025,5,30,,Cocaine,814.67,Capsule/Dose,Land,Storage Site,Europe,Portugal,Évora,Évora,,,,,,,,,,,,,,,,,,,PSP dismantles alleged family drug trafficking network in Évora; 23 arrested.,,,,https://sapo.pt/artigo/psp-desmantela-alegada-rede-de-trafico-em-evora-23-detidos-e-mais-de-800-doses-de-cocaina-apreendidas-6a1d8b12bd4691ffdc57af1b,,,,,,,,,,https://sapo.pt/artigo/psp-desmantela-alegada-rede-de-trafico-em-evora-23-detidos-e-mais-de-800-doses-de-cocaina-apreendidas-6a1d8b12bd4691ffdc57af1b,PSP desmantela alegada rede de tráfico em Évora: 23 detidos e mais de 800 doses de ... - SAPO,2026-06-01,ok,,20260912_170717
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,333,Capsule/Dose,Land,Storage Site,South America,Brazil,Rio Grande do Sul,Caxias do Sul,,,,,,,,,,,,,,,,,,,"333 portions of cocaine seized in Jardim América neighbourhood, Caxias do Sul.",,,,https://www.facebook.com/studionoticiastv/posts/caxiasdosul-policial-a%C3%A7%C3%A3o-ocorreu-no-bairro-jardim-am%C3%A9rica-e-resultou-na-apreens/1617329463731289/,,,,,,,,,,https://www.facebook.com/studionoticiastv/posts/caxiasdosul-policial-a%C3%A7%C3%A3o-ocorreu-no-bairro-jardim-am%C3%A9rica-e-resultou-na-apreens/1617329463731289/,Ação ocorreu no bairro Jardim América e resultou na apreensão de 333 porções de cocaína ...,2026-06-15,no_scrapeable,,20260912_170717
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,530,Kilogram,Land,Storage Site,Europe,United Kingdom,Devon and Cornwall,Plymouth,,,,,,,,,,,,,,,,,,,530g cocaine seized at Plymouth home during SWROCU February raid.,,,,https://uknip.co.uk/news/uk/uk-news/plymouth-man-jailed-for-drugs-and-weapons-following-swrocu-bust/,,,,,,,,,,https://uknip.co.uk/news/uk/uk-news/plymouth-man-jailed-for-drugs-and-weapons-following-swrocu-bust/,Plymouth Man Jailed for Drugs and Weapons Following SWROCU Bust - uknip.co.uk,2026-06-15,ok,,20260912_170717
Seizure,Individual,2026-06-07,,2026,6,7,,Cocaine,237.6,Kilogram,Air,Air Cargo,Africa,Liberia,,Monrovia,,,,,,,,,,,,Europe,Belgium,,Brussels,,,,"237.6 kg cocaine (198 compressed plates) seized at Roberts International Airport, Monrovia.",,,,https://www.koaci.com/article/2026/06/15/liberia/societe/liberia-saisie-record-de-237-kg-de-cocaine-dune-valeur-de-plus-de-19-millions-de-dollars-a-laeroport-enquete_197604.html,,,,,,,,,,https://www.koaci.com/article/2026/06/15/liberia/societe/liberia-saisie-record-de-237-kg-de-cocaine-dune-valeur-de-plus-de-19-millions-de-dollars-a-laeroport-enquete_197604.html,Liberia : Saisie record de 237 Kg de cocaïne d'une valeur de plus de 19 millions de dollars à ...,2026-06-15,ok,,20260912_170717
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,60,Kilogram,Land,,North America,Canada,,Blue Water Bridge,,,,,,,,,,,,,,,,,,,"Major cocaine seizure at Blue Water Bridge, over 60 kg.",,,,https://www.facebook.com/OnTheRoadQuebec/posts/pour-tenter-de-comprendre-%EF%B8%8F-saisie-majeure-au-pont-blue-water-plus-de-60-kg-de-c/1537256128194039/,,,,,,,,,,https://www.facebook.com/OnTheRoadQuebec/posts/pour-tenter-de-comprendre-%EF%B8%8F-saisie-majeure-au-pont-blue-water-plus-de-60-kg-de-c/1537256128194039/,Pour tenter de comprendre ➡️ https://bit.ly/4xsQbyB Saisie majeure au pont Blue Water : plus de ...,2026-06-15,no_scrapeable,,20260912_170717
Seizure,Individual,2026-06-28,,2026,6,28,,All/Unspecified/Multiple,,,Land,Storage Site,South America,Bolivia,Tarija,,,,,,,,,,,,,,,,,,,,FELCN dismantles operation; drugs found hidden in water dispensers.,,,,https://elpotosi.net/nacional/20260628_tarija-felcn-desmantela-operativo-y-encuentra-droga-en-dispensadores-de-agua.html,,,,,,,,,,https://elpotosi.net/nacional/20260628_tarija-felcn-desmantela-operativo-y-encuentra-droga-en-dispensadores-de-agua.html,Tarija: FELCN desmantela operativo y encuentra droga en dispensadores de agua - El Potosí,2026-06-29,texto_pobre,,20260919_032703
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,,,Land,Human courier,South America,Brazil,Santa Catarina,Chapecó,,,,,,,,,,,,,,,,,,,Minor apprehended with drugs during PM operation in Chapecó.,,,,https://diregional.com.br/diario-do-iguacu/policia/2026-06-15-adolescente-e-apreendido-com-drogas-durante-acao-da-pm-em-chapeco,,,True,,,,,,,https://diregional.com.br/diario-do-iguacu/policia/2026-06-15-adolescente-e-apreendido-com-drogas-durante-acao-da-pm-em-chapeco,Adolescente é apreendido com drogas durante ação da PM em Chapecó - DI Regional,2026-06-15,texto_pobre,,20260919_032703
Seizure,Individual,2025-03-31,,2025,3,31,,Cocaine,7.8,Kilogram,Land,Storage Site,South America,Brazil,Rio Grande do Sul,Caxias do Sul,,,,,,,,,,,,,,,,,,,BM seized 7.8 kg cocaine in Jardim América neighborhood; one man arrested.,,,,https://leouve.com.br/seguranca/policia/bm-prende-homem-e-apreende-quase-8-kg-de-cocaina-em-caxias-do-sul/,,,,,,,,,,https://leouve.com.br/seguranca/policia/bm-prende-homem-e-apreende-quase-8-kg-de-cocaina-em-caxias-do-sul/,BM prende homem e apreende quase 8 kg de cocaína em Caxias do Sul - Leouve,2026-06-01,ok,,20260919_032703
Seizure,Individual,2026-06-27,,2026,6,27,,Cocaine,1500,Kilogram,Land,Storage Site,South America,Colombia,Cesar,La Jagua de Ibirico,,,,,,,,,,,,Central America,,,,,,,ELN lab dismantled; 1.5 tons cocaine and explosives seized in Cesar.,ELN - Frente Camilo Torres,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,,,,,,,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,"Golpe al ELN: incautan 1,5 toneladas de cocaína y explosivos en Cesar, Colombia - Pulzo",2026-06-29,ok,dup_6,20260919_032703
Seizure,Individual,2026-06-26,,2026,6,26,,Cocaine,1100,Kilogram,Land,Storage Site,South America,Colombia,Norte de Santander,Bochalema,,,,,,,,,,,,,,,,,,,Lab dismantled; 1.1 tons cocaine and 300 kg cocaine base seized in Bochalema.,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,,,,,,,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,"Golpe al ELN: incautan 1,5 toneladas de cocaína y explosivos en Cesar, Colombia - Pulzo",2026-06-29,ok,dup_4,20260919_032703
Seizure,Individual,2026-06-26,,2026,6,26,,Cocaine Base,300,Kilogram,Land,Storage Site,South America,Colombia,Norte de Santander,Bochalema,,,,,,,,,,,,,,,,,,,300 kg cocaine base seized alongside 1.1 tons cocaine in Bochalema lab raid.,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,,,,,,,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,"Golpe al ELN: incautan 1,5 toneladas de cocaína y explosivos en Cesar, Colombia - Pulzo",2026-06-29,ok,dup_5,20260919_032703
Seizure,Individual,2026-06-27,,2026,6,27,,Cocaine,1500,Kilogram,Land,Storage Site,South America,Colombia,Cesar,La Jagua de Ibirico,,,,,,,,,,,,Central America,,,,,,,1.5 tons cocaine seized at clandestine lab attributed to ELN Frente Camilo Torres.,ELN,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,,,,,,,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,"Incautan 1,5 toneladas de cocaína y explosivos atribuidos al ELN en el Cesar - El Diario",2026-06-29,ok,dup_6,20260919_032703
Seizure,Individual,2026-06-26,,2026,6,26,,Cocaine,1100,Kilogram,Land,Storage Site,South America,Colombia,Norte de Santander,Bochalema,,,,,,,,,,,,,,,,,,,1.1 tons cocaine seized and drug production lab dismantled in Bochalema.,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,,,,,,,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,"Incautan 1,5 toneladas de cocaína y explosivos atribuidos al ELN en el Cesar - El Diario",2026-06-29,ok,dup_4,20260919_032703
Seizure,Individual,2026-06-26,,2026,6,26,,Cocaine Base,300,Kilogram,Land,Storage Site,South America,Colombia,Norte de Santander,Bochalema,,,,,,,,,,,,,,,,,,,300 kg cocaine base seized alongside cocaine at Bochalema lab operation.,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,,,,,,,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,"Incautan 1,5 toneladas de cocaína y explosivos atribuidos al ELN en el Cesar - El Diario",2026-06-29,ok,dup_5,20260919_032703
Seizure,Individual,2024-08-01,,2024,8,1,,Cocaine,,,Land,Vehicle,Europe,United Kingdom,Scotland,Glasgow,,,,,,,,,,,,,,,,,,,"Declan Price stopped in Sandyhills, Glasgow, with cocaine worth £300,000.",Paul Easdon network,,,https://www.dailyrecord.co.uk/news/scottish-news/how-drug-kingpin-nicknamed-glasgowceltic-37350821.amp,,,,,,,,,,https://www.dailyrecord.co.uk/news/scottish-news/how-drug-kingpin-nicknamed-glasgowceltic-37350821.amp,How drug kingpin nicknamed 'Glasgowceltic' ran criminal network - Daily Record,2026-06-29,ok,,20260919_032703
Seizure,Individual,2026-06-29,,2026,6,29,,Cocaine,1000,Kilogram,Maritime,Container,Europe,United Kingdom,,,Ecuador,,,,,,,,,,,Europe,United Kingdom,,,,,,"Jamie Stevenson smuggled nearly one tonne of cocaine hidden in bananas from Ecuador, worth £100m. Date approximated from publication.",Jamie 'the Iceman' Stevenson network,,,https://www.dailyrecord.co.uk/news/scottish-news/how-drug-kingpin-nicknamed-glasgowceltic-37350821.amp,,,,,,,,,,https://www.dailyrecord.co.uk/news/scottish-news/how-drug-kingpin-nicknamed-glasgowceltic-37350821.amp,How drug kingpin nicknamed 'Glasgowceltic' ran criminal network - Daily Record,2026-06-29,ok,,20260919_032703
Seizure,Individual,2026-03-15,,2026,3,15,,Cocaine,8000,Kilogram,Maritime,Container,Europe,Spain,Andalusia,El Ejido,,,,Africa,Sierra Leone,,,Europe,Germany,,Wilhelmshaven (Jade-Weser port),Europe,Spain,Catalonia,Barcelona,Spain,Andalusia,El Ejido,"8 tonnes cocaine in container disguised as cacao, largest seizure in Almería history",,,,https://www.elespanol.com/reportajes/20260629/sexagenario-silencioso-escondia-alijo-toneladas-coca-ejido-valor-no-antecedentes/1003744301701_0.html,,,,,,,,,,https://www.elespanol.com/reportajes/20260629/sexagenario-silencioso-escondia-alijo-toneladas-coca-ejido-valor-no-antecedentes/1003744301701_0.html,"El sexagenario ""silencioso"" que escondía un alijo de 8 toneladas de coca en El Ejido por ...",2026-06-29,ok,,20260919_032703
